Seed,n,m,eps,gamma,Iteration,Residuum,Schrittweite,Quotient
0,64,64,1,5e-12,0,0.030839793733637526,3.637978807091713e-12,nan
0,64,64,1,5e-12,1,0.01998263219340473,2.3283064365386963e-10,0.6479496058240269
0,64,64,1,5e-12,2,0.08994434625785018,5.820766091346741e-11,4.5011260472249655
0,64,64,1,5e-12,3,0.08994434625261494,5.820766091346741e-11,0.9999999999417947
0,64,64,1,5e-12,4,0.15161626853557944,5.820766091346741e-11,1.6856675805920545
0,64,64,1,5e-12,5,0.20773472830983633,1.1641532182693481e-10,1.3701348167732257
0,64,64,1,5e-12,6,0.2464685327055695,1.1641532182693481e-10,1.1864580116713164
0,64,64,1,5e-12,7,0.24646853267687652,1.1641532182693481e-10,0.9999999998835836
0,64,64,1,5e-12,8,0.2541237763992509,2.3283064365386963e-10,1.0310597204407042
0,64,64,1,5e-12,9,0.3470784783614569,2.3283064365386963e-10,1.3657851432845307
0,64,64,1,5e-12,10,0.34707847828064664,4.656612873077393e-10,0.9999999997671701
0,64,64,1,5e-12,11,0.4238539359095021,1.1641532182693481e-10,1.2212048929371386
0,64,64,1,5e-12,12,0.4358017360918262,2.3283064365386963e-10,1.0281884846879779
0,64,64,1,5e-12,13,0.43580173599035715,9.313225746154785e-10,0.9999999997671669
0,64,64,1,5e-12,14,1.2729674320919684,4.656612873077393e-10,2.9209783416744695
0,64,64,1,5e-12,15,1.272967431499194,4.656612873077393e-10,0.9999999995343365
0,64,64,1,5e-12,16,1.2729674309064238,4.656612873077393e-10,0.9999999995343399
0,64,64,1,5e-12,17,1.2729674303136536,9.313225746154785e-10,0.9999999995343398
0,64,64,1,5e-12,18,1.2729674291281077,9.313225746154785e-10,0.9999999990686754
0,64,64,1,5e-12,19,1.2729674279425631,2.3283064365386963e-10,0.9999999990686764
0,64,64,1,5e-12,20,1.2729674276461769,4.656612873077393e-10,0.999999999767169
0,64,64,1,5e-12,21,1.2729674270534046,4.656612873077393e-10,0.9999999995343383
0,64,64,1,5e-12,22,1.2729674264606339,1.862645149230957e-09,0.9999999995343395
0,64,64,1,5e-12,23,1.2729674240895479,1.1641532182693481e-10,0.9999999981373553
