Seed,n,m,eps,gamma,Iterationen,Zeit [s],Marginalfehler,Kostendifferenz,Kosten Newton,Kosten Simplex
0,64,64,1,0.0001,77,0.11738390009850264,0.002522117955732133,3.290373863604615,2.224412017767011,5.514785881371626
1,64,64,1,0.0001,65,0.08754250011406839,0.0012304296321017545,0.6395892117364392,1.0676638407381527,1.707253052474592
2,64,64,1,0.0001,82,0.1058918999042362,0.0019254951160643484,1.3953788245989305,0.9652565765411154,2.360635401140046
3,64,64,1,0.0001,62,0.07696420000866055,0.0009859522422216611,0.405609881963076,1.0324968267622867,1.4381067087253627
4,64,64,1,0.0001,55,0.06056660017929971,0.0009184822987273016,0.5494723157325856,0.6672875776623612,1.2167598933949468
5,64,64,1,0.0001,54,0.08401979994960129,0.0008578952976707119,0.2721825592966416,1.340108810077212,1.6122913693738536
6,64,64,1,0.0001,69,0.074331299867481,0.0008043907296695421,0.25172923639821554,1.0213616736629716,1.2730909100611871
7,64,64,1,0.0001,69,0.08556629996746778,0.0007290971134121735,0.22882229857686542,0.6379765037272744,0.8667988023041399
8,64,64,1,0.0001,63,0.09448749991133809,0.0012946541547544724,0.6454543919408202,1.551374066457965,2.196828458398785
9,64,64,1,0.0001,65,0.08703970001079142,0.0017649315072366736,1.292805001437455,2.3696164426269455,3.6624214440644005
0,64,64,1,5e-05,92,0.12998279999010265,0.0013483819801835377,1.9275670134855751,3.587218867886051,5.514785881371626
1,64,64,1,5e-05,84,0.11597479996271431,0.0008715673933170805,0.49743779754019424,1.2098152549343977,1.707253052474592
2,64,64,1,5e-05,97,0.12289320002309978,0.0012391639907381145,1.0703300773121522,1.2903053238278936,2.360635401140046
3,64,64,1,5e-05,75,0.0947549999691546,0.0005407916629943839,0.25218217025965295,1.1859245384657098,1.4381067087253627
4,64,64,1,5e-05,70,0.07676830003038049,0.000678878891002082,0.48061484498443674,0.7361450484105101,1.2167598933949468
5,64,64,1,5e-05,57,0.05920390016399324,0.000466009561758067,0.1665285480513201,1.4457628213225335,1.6122913693738536
6,64,64,1,5e-05,90,0.1187480001244694,0.00041077165637127405,0.13922023257918736,1.1338706774819998,1.2730909100611871
7,64,64,1,5e-05,61,0.07255000015720725,0.00041673815507258655,0.16851511523279383,0.698283687071346,0.8667988023041399
8,64,64,1,5e-05,89,0.10125309997238219,0.0007979284163794967,0.3999998668317495,1.7968285915670357,2.196828458398785
9,64,64,1,5e-05,79,0.0832044999115169,0.0010665625663269854,0.6935894163441478,2.9688320277202527,3.6624214440644005
0,64,64,1,1e-05,108,0.12764329998753965,0.00031319488263402764,0.42699242121265346,5.087793460158973,5.514785881371626
1,64,64,1,1e-05,97,0.11807859991677105,0.00018780504207318097,0.11485332834925899,1.592399724125333,1.707253052474592
2,64,64,1,1e-05,97,0.11117019993253052,0.00027200328850687447,0.282373715539574,2.078261685600472,2.360635401140046
3,64,64,1,1e-05,83,0.09396010008640587,0.00014833699363471856,0.0674491507348971,1.3706575579904656,1.4381067087253627
4,64,64,1,1e-05,109,0.143431699834764,0.00022678960448511629,0.266219873735118,0.9505400196598288,1.2167598933949468
5,64,64,1,1e-05,79,0.1037822999060154,0.00011004201874714042,0.05082572270189467,1.561465646671959,1.6122913693738536
6,64,64,1,1e-05,81,0.09362729988060892,9.550491964294833e-05,0.03442691144500887,1.2386639986161783,1.2730909100611871
7,64,64,1,1e-05,73,0.08129980019293725,0.00012100747807241435,0.06329883736188735,0.8034999649422525,0.8667988023041399
8,64,64,1,1e-05,80,0.09554670006036758,0.00017783034575447748,0.08959367422045483,2.1072347841783303,2.196828458398785
9,64,64,1,1e-05,90,0.09488390013575554,0.00022119479733662822,0.14425573284765614,3.5181657112167444,3.6624214440644005
0,64,64,1,1e-06,98,0.15059090009890497,3.1417876326534505e-05,0.043185624272513934,5.471600257099112,5.514785881371626
1,64,64,1,1e-06,96,0.12099969992414117,2.0495466788558042e-05,0.013269268892068142,1.6939837835825238,1.707253052474592
2,64,64,1,1e-06,109,0.12513830000534654,2.7925739426473e-05,0.03029378248741743,2.3303416186526285,2.360635401140046
3,64,64,1,1e-06,91,0.13758029998280108,1.645572885302163e-05,0.0074023130011513505,1.4307043957242114,1.4381067087253627
4,64,64,1,1e-06,132,0.19371249992400408,2.6367791529462864e-05,0.032562018267997095,1.1841978751269497,1.2167598933949468
5,64,64,1,1e-06,85,0.09846010012552142,1.3604030028861736e-05,0.006182719411031767,1.6061086499628219,1.6122913693738536
6,64,64,1,1e-06,92,0.11259600007906556,9.906857727066953e-06,0.00347807875443662,1.2696128313067505,1.2730909100611871
7,64,64,1,1e-06,94,0.11119500012136996,1.4578049174120838e-05,0.00916344573817296,0.8576353565659669,0.8667988023041399
8,64,64,1,1e-06,82,0.10181970009580255,1.7791540652074833e-05,0.008962786349561824,2.1878656720492233,2.196828458398785
9,64,64,1,1e-06,84,0.10044929990544915,2.2121036792006887e-05,0.014426301150700205,3.6479951429137003,3.6624214440644005
0,64,64,1,5e-07,110,0.13750370009802282,1.5709059114177998e-05,0.021592899988467806,5.493192981383158,5.514785881371626
1,64,64,1,5e-07,102,0.12067650002427399,1.0525246702582786e-05,0.006923625923463961,1.700329426551128,1.707253052474592
2,64,64,1,5e-07,116,0.15087729995138943,1.3963260299811736e-05,0.015147669382507889,2.345487731757538,2.360635401140046
3,64,64,1,5e-07,93,0.10731150000356138,8.228140299455095e-06,0.0037012614113418607,1.4344054473140209,1.4381067087253627
4,64,64,1,5e-07,133,0.17178969993256032,1.3184835195783479e-05,0.016282500764016605,1.2004773926309302,1.2167598933949468
5,64,64,1,5e-07,89,0.11089799995534122,6.802316047486989e-06,0.0030914779589084063,1.6091998914149452,1.6122913693738536
6,64,64,1,5e-07,91,0.12951180012896657,4.95365317388502e-06,0.0017390905810767965,1.2713518194801103,1.2730909100611871
7,64,64,1,5e-07,89,0.12050669989548624,7.6124935129671945e-06,0.004998820074948562,0.8617999822291913,0.8667988023041399
8,64,64,1,5e-07,81,0.10962600004859269,8.895965214923696e-06,0.004481472313924595,2.1923469860848606,2.196828458398785
9,64,64,1,5e-07,84,0.12594590010121465,1.1060558598237347e-05,0.007213169919437767,3.6552082741449627,3.6624214440644005
0,64,64,1,1e-07,121,0.1698718999978155,3.141829897791021e-06,0.004318591984455722,5.5104672893871705,5.514785881371626
1,64,64,1,1e-07,97,0.10882330010645092,2.1051075495513716e-06,0.0013847767346488737,1.705868275739943,1.707253052474592
2,64,64,1,1e-07,106,0.13048400008119643,2.7927144603777376e-06,0.0030296581800048905,2.357605742960041,2.360635401140046
3,64,64,1,1e-07,82,0.08883329993113875,1.645671924638964e-06,0.0007402689712272537,1.4373664397541355,1.4381067087253627
4,64,64,1,1e-07,137,0.16585099999792874,2.637108755958878e-06,0.0032567198687694088,1.2135031735261774,1.2167598933949468
5,64,64,1,1e-07,96,0.10968049988150597,1.3605053520923671e-06,0.0006183125833465475,1.611673056790507,1.6122913693738536
6,64,64,1,1e-07,91,0.11496379994787276,9.907665461453274e-07,0.00034782631063157154,1.2727430837505556,1.2730909100611871
7,64,64,1,1e-07,84,0.09921919996850193,1.5226794572685554e-06,0.0009998916865819885,0.8657989106175579,0.8667988023041399
8,64,64,1,1e-07,89,0.11756040016189218,1.7792242281780557e-06,0.0008963071269030287,2.195932151271882,2.196828458398785
9,64,64,1,1e-07,78,0.09821369987912476,2.2121180508552496e-06,0.0014426370350868467,3.6609788070293137,3.6624214440644005
0,64,64,1,5e-08,122,0.16585079999640584,1.5709160845374381e-06,0.002159296744944861,5.512626584626681,5.514785881371626
1,64,64,1,5e-08,100,0.12495920015498996,1.052557413613181e-06,0.000692391584386387,1.7065606608902055,1.707253052474592
2,64,64,1,5e-08,106,0.1336556999012828,1.3963611092092376e-06,0.001514836859573876,2.359120564280472,2.360635401140046
3,64,64,1,5e-08,83,0.10278500011190772,8.228386973070656e-07,0.0003701355253247218,1.437736573200038,1.4381067087253627
4,64,64,1,5e-08,141,0.1680458001792431,1.3185630673255566e-06,0.0016283732846189558,1.2151315201103279,1.2167598933949468
5,64,64,1,5e-08,92,0.12248439993709326,6.802553126836197e-07,0.0003091573536644354,1.6119822120201892,1.6122913693738536
6,64,64,1,5e-08,90,0.13574729999527335,4.953855166148213e-07,0.00017391366757335547,1.2729169963936138,1.2730909100611871
7,64,64,1,5e-08,93,0.12116630002856255,7.613507629587735e-07,0.0004999535772661767,0.8662988487268737,0.8667988023041399
8,64,64,1,5e-08,90,0.1109440999571234,8.896140595363033e-07,0.0004481543548426892,2.1963803040439425,2.196828458398785
9,64,64,1,5e-08,78,0.0997405000962317,1.1060594212811137e-06,0.0007213187053696224,3.661700125359031,3.6624214440644005
0,64,64,1,1e-08,103,0.13463009987026453,3.141833968441088e-07,0.0004318594649905805,5.514354021906636,5.514785881371626
1,64,64,1,1e-08,110,0.15124769997783005,2.1051205395181127e-07,0.00013847883140072348,1.7071145736431912,1.707253052474592
2,64,64,1,1e-08,103,0.12767980014905334,2.7927284554016274e-07,0.0003029686148718902,2.360332432525174,2.360635401140046
3,64,64,1,1e-08,96,0.1275832001119852,1.6456818010060492e-07,7.402727143546173e-05,1.4380326814539273,1.4381067087253627
4,64,64,1,1e-08,136,0.1753922998905182,2.6371400234023734e-07,0.00032567678809303224,1.2164342166068538,1.2167598933949468
5,64,64,1,1e-08,92,0.1135905000846833,1.3605148312806348e-07,6.183164059381241e-05,1.6122295377332598,1.6122913693738536
6,64,64,1,1e-08,99,0.13454490015283227,9.907745646825505e-08,3.4782815485190355e-05,1.273056127245702,1.2730909100611871
7,64,64,1,1e-08,91,0.12992119998671114,1.522719204859191e-07,9.999195289156493e-05,0.8666988103512483,0.8667988023041399
8,64,64,1,1e-08,74,0.1153074000030756,1.7792311868963795e-07,8.96309975710885e-05,2.196738827401214,2.196828458398785
9,64,64,1,1e-08,83,0.1208234999794513,2.2121193710838982e-07,0.00014426377139642454,3.662277180293004,3.6624214440644005
0,64,64,1,5e-09,105,0.1479172999970615,1.570917060773891e-07,0.0002159297399542126,5.514569951631672,5.514785881371626
1,64,64,1,5e-09,111,0.15515250014141202,1.0525606869080106e-07,6.923944792980308e-05,1.7071838130266621,1.707253052474592
2,64,64,1,5e-09,101,0.13611430022865534,1.3963646485967707e-07,0.00015148438524592578,2.3604839167548,2.360635401140046
3,64,64,1,5e-09,96,0.128822400001809,8.228411431734917e-08,3.701364612207492e-05,1.4380696950792407,1.4381067087253627
4,64,64,1,5e-09,134,0.1933701999951154,1.3185709117277677e-07,0.00016283852680354372,1.2165970548681433,1.2167598933949468
5,64,64,1,5e-09,91,0.1388898000586778,6.802577273007371e-08,3.0915830972144676e-05,1.6122604535428815,1.6122913693738536
6,64,64,1,5e-09,98,0.16012479993514717,4.9538752662503516e-08,1.7391412781453397e-05,1.2730735186484057,1.2730909100611871
7,64,64,1,5e-09,90,0.10743049997836351,7.613607086107144e-08,4.999605382216554e-05,0.8667488062503177,0.8667988023041399
8,64,64,1,5e-09,74,0.1070320000872016,8.896157833310214e-08,4.4815506709650066e-05,2.1967836428920755,2.196828458398785
9,64,64,1,5e-09,83,0.16495079989545047,1.106059682801086e-07,7.21318866765408e-05,3.662349312177724,3.6624214440644005
0,64,64,1,1e-09,113,0.199510799953714,3.14183428058723e-08,4.318594733199177e-05,5.514742695424294,5.514785881371626
1,64,64,1,1e-09,104,0.18540120008401573,2.105121582260394e-08,1.3847894879237543e-05,1.7072392045797127,1.707253052474592
2,64,64,1,1e-09,110,0.1749881999567151,2.7927280734502125e-08,3.0296889311109965e-05,2.3606051042507348,2.360635401140046
3,64,64,1,1e-09,84,0.1121501000598073,1.6456825808336406e-08,7.402730901606702e-06,1.4380993059944611,1.4381067087253627
4,64,64,1,1e-09,137,0.1886757998727262,2.637143007785947e-08,3.256772661952567e-05,1.2167273256683273,1.2167598933949468
5,64,64,1,1e-09,88,0.12089690007269382,1.3605164266017322e-08,6.183167868378803e-06,1.6122851862059853,1.6122913693738536
6,64,64,1,1e-09,103,0.13877389999106526,9.907755511850969e-09,3.478283327584819e-06,1.2730874317778595,1.2730909100611871
7,64,64,1,1e-09,89,0.1100025000050664,1.5227230223263666e-08,9.999223154477654e-06,0.8667888030809854,0.8667988023041399
8,64,64,1,1e-09,75,0.10104930005036294,1.779231052073671e-08,8.963102406056578e-06,2.196819495296379,2.196828458398785
9,64,64,1,1e-09,85,0.12522729998454452,2.2121198546554144e-08,1.4426377702214666e-05,3.6624070176866983,3.6624214440644005
0,64,64,1,5e-10,113,0.1631235999520868,1.570917728191401e-08,2.1592974408513044e-05,5.514764288397218,5.514785881371626
1,64,64,1,5e-10,104,0.14764419989660382,1.052561232270377e-08,6.923947584613899e-06,1.7072461285270073,1.707253052474592
2,64,64,1,5e-10,110,0.1829752998892218,1.3963666469635205e-08,1.514844576977481e-05,2.360620252694276,2.360635401140046
3,64,64,1,5e-10,84,0.12674050009809434,8.228412302219157e-09,3.701365651531674e-06,1.4381030073597112,1.4381067087253627
4,64,64,1,5e-10,136,0.18007749994285405,1.318571444738903e-08,1.6283864647359536e-05,1.2167436095302995,1.2167598933949468
5,64,64,1,5e-10,88,0.11490779998712242,6.802572886932534e-09,3.091584023229288e-06,1.6122882777898304,1.6122913693738536
6,64,64,1,5e-10,103,0.14066000003367662,4.9538808680194e-09,1.7391417446166457e-06,1.2730891709194425,1.2730909100611871
