Seed,n,m,Zeit [s],Marginalfehler,Kosten,istGueltig
0,64,64,0.0005210000090301037,5.551115123125783e-17,5.514785881371626,True
1,64,64,0.0002927000168710947,4.85722573273506e-17,1.707253052474592,True
2,64,64,0.0002205998171120882,1.2836953722228372e-16,2.360635401140046,True
3,64,64,0.0002654001582413912,6.245004513516506e-17,1.4381067087253627,True
4,64,64,0.000232999911531806,4.5102810375396984e-17,1.2167598933949468,True
5,64,64,0.00022140005603432655,1.734723475976807e-17,1.6122913693738536,True
6,64,64,0.00025749998167157173,1.1449174941446927e-16,1.2730909100611871,True
7,64,64,0.00023520016111433506,1.249000902703301e-16,0.8667988023041399,True
8,64,64,0.00029799994081258774,7.979727989493313e-17,2.196828458398785,True
9,64,64,0.0002655999269336462,1.0755285551056204e-16,3.6624214440644005,True
0,128,128,0.0011444000992923975,3.642919299551295e-17,2.2499087786172796,True
1,128,128,0.0009550999384373426,6.591949208711867e-17,1.8850183583944515,True
2,128,128,0.0009025000035762787,7.45931094670027e-17,2.0137732495128553,True
3,128,128,0.0007949001155793667,6.938893903907228e-18,4.394664462304249,True
4,128,128,0.0007720000576227903,6.418476861114186e-17,2.587160712844729,True
5,128,128,0.0007654000073671341,6.071532165918825e-17,2.6286001337623914,True
6,128,128,0.0010210000909864902,3.642919299551295e-17,6.348616920221771,True
7,128,128,0.000984399812296033,1.5265566588595902e-16,2.1818001564176766,True
8,128,128,0.0008225999772548676,1.3010426069826053e-16,1.5757754609379053,True
9,128,128,0.0005952999927103519,5.551115123125783e-17,4.3970879874581925,True
0,256,256,0.0044905999675393105,1.3877787807814457e-16,2.525970710319414,True
1,256,256,0.0019106999970972538,3.0357660829594124e-17,6.8152646239069945,True
2,256,256,0.003921400057151914,1.5699247457590104e-16,2.4945562379926827,True
3,256,256,0.003671499900519848,1.2923689896027213e-16,2.93087825226411,True
4,256,256,0.0036549000069499016,1.43982048506075e-16,6.439510286889961,True
5,256,256,0.0040756999514997005,9.107298248878237e-17,2.160433766077145,True
6,256,256,0.005220700055360794,7.979727989493313e-17,3.947179490475433,True
7,256,256,0.0031705000437796116,2.2551405187698492e-17,3.943951741209656,True
8,256,256,0.0035695000551640987,2.862293735361732e-17,2.0407717600670914,True
9,256,256,0.005008799955248833,5.117434254131581e-17,3.776162859319064,True
0,512,512,0.019822500180453062,6.722053469410127e-17,3.154402162258915,True
1,512,512,0.01855079992674291,6.938893903907228e-18,4.395677778757695,True
2,512,512,0.016713600140064955,1.457167719820518e-16,6.754755428403376,True
3,512,512,0.017760199960321188,2.688821387764051e-17,3.692991273112453,True
4,512,512,0.017553400015458465,3.0357660829594124e-18,6.018056565767458,True
5,512,512,0.02193809999153018,7.32920668600201e-17,2.597200376256307,True
6,512,512,0.02000429993495345,1.6436504934880247e-16,4.991520797824628,True
7,512,512,0.02030290011316538,1.5525775109992423e-16,3.7998056945981937,True
8,512,512,0.021220100112259388,1.0495077029659683e-16,3.958249803042522,True
9,512,512,0.019519699970260262,1.3747683547116196e-16,4.780551035889461,True
0,1024,1024,0.08025130000896752,2.1445518971763278e-16,7.067792231859986,True
1,1024,1024,0.08618509978987277,2.233456475320139e-17,8.312335346535827,True
2,1024,1024,0.09770180005580187,8.977193988179977e-17,7.016910124556266,True
3,1024,1024,0.0646089999936521,5.312590645178972e-17,10.908123726379548,True
4,1024,1024,0.09660899988375604,2.47198095326695e-17,6.5992075208698235,True
5,1024,1024,0.09539099992252886,1.1470858984896637e-16,6.4480250158898045,True
6,1024,1024,0.09195809997618198,4.9873299934333204e-17,7.207000465066831,True
7,1024,1024,0.09697119984775782,2.0838365755171395e-16,5.320433962583409,True
8,1024,1024,0.0801498000510037,2.5587171270657905e-16,5.952223555900229,True
9,1024,1024,0.048415099969133735,6.028164079019405e-17,14.707656803510801,True
0,2048,2048,0.34006129996851087,1.7878493824285968e-16,25.618948198423627,True
1,2048,2048,0.39191040000878274,8.136937304503711e-17,6.960939502710637,True
2,2048,2048,0.4293488000985235,9.107298248878237e-17,8.438286341482176,True
3,2048,2048,0.39362849993631244,1.347663300399482e-16,13.441216763095902,True
4,2048,2048,0.3770393000449985,5.2366964931049864e-17,6.757828007436885,True
5,2048,2048,0.4078944001812488,7.19910242530375e-17,6.293483792526039,True
6,2048,2048,0.3839579001069069,6.971419969081794e-17,17.725421466605866,True
7,2048,2048,0.33886800007894635,1.5514933088267568e-16,12.427198990192785,True
8,2048,2048,0.405191499972716,6.808789643208968e-17,9.159260367833662,True
9,2048,2048,0.4902888999786228,1.0256552551712872e-16,10.70291563010352,True
0,4000,4000,2.0426308000460267,1.3097162243624894e-16,18.63743701134626,True
1,4000,4000,1.465895100031048,7.209944447028604e-18,7.126640115436692,True
2,4000,4000,1.459317699773237,1.4858990773913838e-16,13.364470569225702,True
3,4000,4000,1.4135657998267561,2.0383000842727483e-17,14.433164160702066,True
4,4000,4000,1.5582963998895139,5.095750210681871e-18,20.035236065912823,True
5,4000,4000,1.4864034000784159,6.272109567828643e-17,14.74387178107904,True
6,4000,4000,1.8225990000646561,2.7538735181131813e-17,17.65617790312096,True
7,4000,4000,1.4945016000419855,1.0863705768304754e-16,9.449985393602315,True
8,4000,4000,1.6264369001146406,1.1600963245594897e-16,23.335484943785026,True
9,4000,4000,1.6992850000970066,1.170396245198102e-16,20.779259824099547,True
0,5000,5000,2.8067956001032144,9.194034422677078e-17,35.00721182954197,True
1,5000,5000,2.64300679997541,4.6485168145316e-17,15.671308216061838,True
2,5000,5000,2.4239586000330746,1.7607443281164592e-16,12.718686862257783,True
3,5000,5000,2.3339263000525534,1.6815975695250174e-16,16.257446633354284,True
4,5000,5000,2.781278299866244,1.093959992037874e-16,9.153834496062732,True
5,5000,5000,2.4666768999304622,1.1075125191939428e-16,15.169778588466253,True
6,5000,5000,2.423935699975118,5.719166459861036e-17,17.23934212431606,True
7,5000,5000,2.1609522998332977,1.170396245198102e-16,15.379841706989362,True
8,5000,5000,2.5344346999190748,2.6291902682773483e-17,22.324705976296077,True
